possible_table_name,parent_table_name,node_name,node_category,node_subpart_type,asset_class
OPERATING CONDITIONS,,operating_conditions,primary_equipments,,pump
SPRINGS,SEAL MATERILAS,materials,auxiliary_equipments,seal_auxiliary_system,pump
FLOW INSTRUMENTS,instrumentation,instrumentation,primary_equipments,,pump
GENERAL,,equipments,primary_equipments,,pump
PUMP,SURFACE PREPARATION AND PAINT,construction_accessories,primary_equipments,,pump
DRIVER,SITE AND UTILITY DATA,driver_motor,primary_equipments,,pump
AUX CASE CONNECTION,MECHANICAL DATA,mechanical_geometry,primary_equipments,,pump
FLOW-INSTRUMENTS,INSTRUMENTATION,instrumentation,primary_equipments,,pump
SECONDARY SEALS,,materials,auxiliary_equipments,seal_auxiliary_system,pump
FLUID DATA,FLUID DATA,process_fluids,primary_equipments,,pump
