client_property_name,standard_property_name,possible_table_name,parent_table_name,,node_name,node_category,node_subpart_type,asset_class,reasoning,used_tool,,,,,,,,Document Name
Fan,fan,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Fan Pitch,fan_pitch,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Louvers,louvers,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Positioner,positioner,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Signal air pressure (psia): From,signal_air_pressure_psia_from,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Signal air pressure (psia): To,signal_air_pressure_psia_to,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Signal air pressure From,signal_air_pressure_from,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-L000E9612_0.pdf"
Signal air pressure To,signal_air_pressure_to,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-L000E9612_0.pdf"
Supply air pressure (psia): From,supply_air_pressure_psia_from,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Supply air pressure (psia): To,supply_air_pressure_psia_to,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Supply air pressure: From,supply_air_pressure_from,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-L000E9612_0.pdf"
Supply air pressure: To,supply_air_pressure_to,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-L000E9612_0.pdf"
Action on control signal failure: Fan pitch,action_on_control_signal_failure_fan_pitch,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3307_2.pdf
